retro_team_code,mlb_team_id,mlb_abbrev,valid_from_season,valid_to_season
ANA,108,ANA,2000,2004
ANA,108,LAA,2005,2025
ARI,109,AZ,2000,2025
ATH,133,ATH,2025,2025
ATL,144,ATL,2000,2025
BAL,110,BAL,2000,2025
BOS,111,BOS,2000,2025
CHA,145,CWS,2000,2025
CHN,112,CHC,2000,2025
CIN,113,CIN,2000,2025
CLE,114,CLE,2000,2025
COL,115,COL,2000,2025
DET,116,DET,2000,2025
FLO,146,FLA,2000,2011
HOU,117,HOU,2000,2025
KCA,118,KC,2000,2025
LAN,119,LA,2000,2004
LAN,119,LAD,2005,2025
MIA,146,MIA,2012,2025
MIL,158,MIL,2000,2025
MIN,142,MIN,2000,2025
MON,120,MON,2000,2004
NYA,147,NYY,2000,2025
NYN,121,NYM,2000,2025
OAK,133,OAK,2000,2024
PHI,143,PHI,2000,2025
PIT,134,PIT,2000,2025
SDN,135,SD,2000,2025
SEA,136,SEA,2000,2025
SFN,137,SF,2000,2025
SLN,138,STL,2000,2025
TBA,139,TB,2000,2025
TEX,140,TEX,2000,2025
TOR,141,TOR,2000,2025
WAS,120,WSH,2005,2025
